id,tier,stage,title,status,primary_metric,path,key_files,reuse_for,claim
v6_main_10_material_robust,report_main_result,v6,10-material perturbation-augmented robust H/M sorting,passed,validation/stress H/M min recall = 1.0; macro-F1 = 1.0,results/accuracy_v3/v8a_multiclass_context_v6_physical_robust_model,v8a_multiclass_context_v6_physical_robust_gate.json; v8a_multiclass_context_v6_physical_robust_summary.csv; v8a_multiclass_context_v6_physical_robust_best_main.csv; v8a_multiclass_context_v6_physical_robust_report.md,report tables; main accuracy claim; baseline for later extension,Main positive result: robust 10-material H/M separation under held-out perturbations.
v6_shortcut_audit,report_supporting_evidence,v6,v6 skeptical shortcut audit,passed,controls weak; exact cross-split feature hash overlap absent,results/accuracy_v3/v8a_multiclass_context_v6_skeptical_shortcut_audit,v8a_multiclass_context_v6_skeptical_shortcut_gate.json; v8a_multiclass_context_v6_skeptical_shortcut_report.md,method credibility; shortcut control section,No simple count/lineage/hash shortcut explains the v6 positive result.
v8_relaxed_20_material_extension,report_extension_result,v8,20-material relaxed ensemble extension,passed_with_caveat,stress top-1 = 0.9958; stress macro-F1 = 0.9958; stress H/M min recall = 0.9167; worst-profile H/M = 0.75,results/accuracy_v3/v8a_multiclass_context_v8_vote_log3_hist1_relaxed_gate,v8_vote_log3_hist1_relaxed_gate.json; v8_vote_log3_hist1_relaxed_summary.csv; v8_vote_log3_hist1_relaxed_decisions.csv; v8_vote_log3_hist1_relaxed_report.md,extension table; scalability claim with caveat; future model comparison,Extension result: 20-material sorting remains strong with explicit hard-negative caveat.
v8_reporting_grade_gate,report_extension_supporting_evidence,v8,20-material reporting-grade gate,passed_with_caveat,reporting gate passed; strict hard-negative gate not passed,results/accuracy_v3/v8a_multiclass_context_v8_reporting_grade_extension_gate,v8a_multiclass_context_v8_reporting_grade_extension_gate.json; v8a_multiclass_context_v8_reporting_grade_extension_report.md; v8a_multiclass_context_v8_reporting_grade_best_main.csv,claim boundary; report caveat wording,"A reporting-grade gate passes when strict hard-negative robustness is treated as a limitation, not a veto."
v8_strict_hard_negative,limitation_and_future_work,v8,Strict Hematite-Ilmenite hard-negative robustness,failed_strict_gate,strict stress worst-profile H/M = 0.5 in original v8 main gate; relaxed ensemble improves to 0.75,results/accuracy_v3/v8a_multiclass_context_v8_hard_negative_robust_model,v8a_multiclass_context_v8_hard_negative_robust_gate.json; v8a_multiclass_context_v8_hard_negative_robust_summary.csv; v8a_multiclass_context_v8_hard_negative_robust_confusions.csv; v8a_multiclass_context_v8_hard_negative_robust_decisions.csv,limitations; future work motivation; hard-negative benchmark,Strict hard-negative robustness remains unresolved under held-out stress.
v8_hard_negative_diagnostics,diagnostic_evidence,v8,Hematite-Ilmenite hard-negative diagnostics,completed,Hematite->Ilmenite errors and nearest-centroid collapse under stress profiles,results/accuracy_v3/v8a_multiclass_context_v8_hard_negative_robust_hard_negative_diagnostics,v8a_multiclass_context_v8_hard_negative_robust_diagnostics_gate.json; v8a_multiclass_context_v8_hard_negative_robust_diagnostics_report.md; v8a_multiclass_context_v8_hematite_stress_nearest_train_centroids.csv; v8a_multiclass_context_v8_stress_focus_pair_distances.csv,v9 feature design; discussion section; ablation target selection,"The failure is material-space/feature robustness, not simple count/lineage/hash leakage."
v8_event_features,reusable_dataset,v8,v8 20-material event-to-feature table,available,2160 samples; 651557 sidecar rows,results/accuracy_v3/v8a_multiclass_context_v8_hard_negative_robust_event_to_feature,v8a_event_sidecar_features.csv,v9 features; model comparison; diagnostic plots,Primary reusable feature dataset for 20-material derivative research.
v6_event_features,reusable_dataset,v6,v6 10-material event-to-feature table,available,1400 samples; 409983 sidecar rows,results/accuracy_v3/v8a_multiclass_context_v6_physical_robust_event_to_feature,v8a_event_sidecar_features.csv,main result reproduction; baseline model comparison,Primary reusable feature dataset for the 10-material main result.
input_matrices,reproducibility,v4-v8,Geant4 input matrix directories,available,v4-v8 matrix profiles preserved,source_models/config/material_sorting_matrix,v8a_multiclass_context_v6_physical_robust/; v8a_multiclass_context_v8_hard_negative_robust/,Geant4 reruns; experimental design audit,Experiment design and Geant4 replay entry points.
peak_manifests,reproducibility,v8a,Diffraction peak manifests,available,10-material and 20-material manifests available,source_models/config/diffraction_peak_tables,ten_material_powder_peaks_cif_or_literature_v8a_manifest.json; twenty_material_powder_peaks_rruff_v8a_manifest.json,feature provenance; v9 peak feature design,Peak-table inputs used by feature extraction and material contexts.
